Nr,Name,Info,Height (m)
50,Diglett,"Ingen har någonsin sett hela kroppen på en Diglett. Bönder använder den ibland för att plöja sina åkrar.",0.2
51,Dugtrio,"Tre Diglett som har förenats. Kan gräva sig fram i 100 km/h, upp till 100 km under jord.",0.7
52,Meowth,"Känd från Team Rocket i animen. Den älskar allt som är runt och skinande, särskilt mynt, och patrullerar sitt revir på natten i jakt på borttappade slantar.",0.4
53,Persian,"Populär bland rika tack vare sin eleganta päls, men dess nyckfulla och arroganta attityd gör den svår att uppfostra.",1.0
54,Psyduck,"Lider av konstant huvudvärk. När värken blir tillräckligt svår, släpper den omedvetet lös psykiska krafter.",0.8
55,Golduck,"En extremt skicklig simmare som kan ta sig fram även i stormiga hav. Känd för att rädda människor från skeppsbrott.",1.7
56,Mankey,"Blir arg för minsta lilla och attackerar omedelbart. Om en Mankey i en flock blir arg, blir alla det.",0.5
57,Primeape,"När den blir arg ökar dess blodcirkulation, vilket gör den starkare men också dummare. Kan bli så arg att den dör.",1.0
58,Growlithe,"En lojal och modig Pokémon som ofta används som vakthund. Har ett utmärkt luktsinne.",0.7
59,Arcanine,"Känd för sin otroliga snabbhet; sägs kunna springa 10 000 km på ett dygn. Dess skönhet har beundrats sedan urminnes tider.",1.9
60,Poliwag,"Dess tunna hud gör att man kan se dess inre organ som en spiral. Spiralens riktning varierar beroende på region.",0.6
61,Poliwhirl,"Kan leva både på land och i vatten. Dess kropp är täckt av en oljig vätska som gör den hal och svår att fånga.",1.0
62,Poliwrath,"En expert på simning som kan simma ifrån professionella idrottare. Dess muskler är så starka att den kan krossa stenblock med sina slag.",1.3
63,Abra,"Sover 18 timmar om dygnet. Även i sömnen känner den av fara och teleporterar sig till säkerhet.",0.9
64,Kadabra,"Utsänder alfavågor som kan orsaka huvudvärk och få maskiner att sluta fungera. En teori är att den en gång var en människa.",1.3
65,Alakazam,"Dess hjärnceller multipliceras oändligt, vilket ger den ett minne av allt sedan den föddes. Använder psykiska krafter för att röra sin kropp.",1.5
66,Machop,"Dess muskler blir aldrig ömma, oavsett hur mycket den tränar. Älskar att lyfta tunga saker som Graveler.",0.8
67,Machoke,"Dess bälte reglerar dess otroliga styrka. Den tar bara av sig det när den möter en verkligt kraftfull motståndare.",1.5
68,Machamp,"Med sina fyra armar kan den dela ut 500 slag på en sekund. En enda arm kan flytta ett berg.",1.6
69,Bellsprout,"Dess kropp är tunn och flexibel. Den kan plantera sina fötter i marken för att absorbera fukt men kan då inte röra sig.",0.7
70,Weepinbell,"Hänger i en trädgren med sin krokförsedda bakdel medan den sover. Om bytet inte löses upp av syra, skär den det i bitar med sina blad.",1.0
71,Victreebel,"Lockar till sig byten med en nektarliknande doft och sväljer dem sedan hela. Ju mer den äter, desto sötare blir doften.",1.7
72,Tentacool,"Består av 99% vatten. Dess tentakler kan växa tillbaka snabbt om de bryts av.",0.9
73,Tentacruel,"Har 80 tentakler som den kan förlänga och dra in efter behag. Använder dem för att fånga byten och injicera gift.",1.6
74,Geodude,"Stolt över sin hårda kropp och tävlar ofta mot andra för att se vem som är hårdast. Ligger ofta stilla och misstas för vanliga stenar.",0.4
75,Graveler,"Rullar nerför berg för att förflytta sig och krossar allt i sin väg. Bryr sig inte om delar av kroppen flisas av, eftersom de växer tillbaka.",1.0
76,Golem,"Ömsar skinn en gång om året för att växa. Kan dra in sina lemmar i sitt skal och rulla nerför berg i hög hastighet.",1.4
77,Ponyta,"När den föds är den ostadig på benen, men blir snabbt en stark löpare. Kan välja om dess flammor ska brännas eller inte.",1.0
78,Rapidash,"En tävlingsinriktad Pokémon som springer i upp till 240 km/h om den ser något snabbare än sig själv. Ju snabbare den springer, desto längre blir manen.",1.7
79,Slowpoke,"Så långsam och trög att det kan ta fem sekunder innan den känner smärta. Fiskar med sin svans utan att märka om något nappar.",1.2
80,Slowbro,"Utvecklas när en Shellder biter sig fast i dess svans. Giftet från Shellder gör att den inte känner smärta, men kan ge den plötsliga inspirationsblixtar.",1.6
81,Magnemite,"Svävar med hjälp av elektromagnetism. Dras till el och kan orsaka strömavbrott genom att fästa sig vid kraftledningar.",0.3
82,Magneton,"Bildas när flera Magnemite länkas samman av en stark magnetisk kraft. Avger mystiska radiosignaler.",1.0
83,Farfetch'd,"Bär alltid med sig en purjolöksstjälk som den använder som ett vapen. Kan inte leva utan sin stjälk och skyddar den med sitt liv.",0.8
84,Doduo,"Dess två huvuden har identiska hjärnor. Ett huvud sover medan det andra håller vakt.",1.4
85,Dodrio,"De tre huvudena representerar glädje, sorg och ilska. När de planerar strategier tillsammans kan de bli handlingsförlamade om de inte kommer överens.",1.8
86,Seel,"Älskar att simma i iskallt vatten. Dess horn är hårt nog att krossa isblock. Sover på havsbotten under dagen.",1.1
87,Dewgong,"Kan lagra värmeenergi i kroppen för att klara extrem kyla. Jagar på natten och vilar på isflak under dagen.",1.7
88,Grimer,"Består av förorenat slam. Kan tränga sig igenom de minsta springor och lever på avfall i avloppssystem.",0.8
89,Muk,"Extremt giftig; en enda droppe från dess kropp kan förgifta en hel damm. Marken den rör sig över blir obrukbar i tre år.",1.2
90,Shellder,"Dess hårda skal skyddar den mot de flesta attacker. Den simmar baklänges genom att snabbt öppna och stänga sitt skal.",0.3
91,Cloyster,"Dess skal är hårdare än diamant och kan inte förstöras ens av en bomb. Öppnar bara skalet för att attackera.",1.5
92,Gastly,"Dess kropp består av en giftig gas. Den kan omsluta ett byte av vilken storlek som helst och förgifta det genom huden.",1.3
93,Haunter,"Sägs komma från en annan dimension. Lickar sina offer med sin gasformiga tunga för att sakta stjäla deras livskraft.",1.6
94,Gengar,"Älskar att skrämmas och gömmer sig i skuggor. Om temperaturen plötsligt sjunker kan en Gengar vara i närheten.",1.5
95,Onix,"Lever under jorden och gräver tunnlar i 80 km/h. När den äter hårda objekt blir dess stenkropp solid som diamant.",8.8
96,Drowzee,"Äter drömmar från sovande människor och Pokémon genom deras näsborrar. Föredrar barns drömmar eftersom de är godare.",1.0
97,Hypno,"Använder sin pendel för att hypnotisera sina offer och äta deras drömmar. Enligt en ökänd incident sägs den ha fört bort ett barn den hypnotiserat.",1.6
98,Krabby,"Lever på stränder. Om den förlorar en klo i strid växer en ny snabbt ut igen.",0.4
99,Kingler,"Dess enorma vänstra klo har en krossande styrka på 10 000 hästkrafter, men den är så tung att den är svår att sikta med.",1.3
100,Voltorb,"Man tror att den skapades när en Pokéboll träffades av en energipuls. Exploderar vid minsta beröring.",0.5
101,Electrode,"Ju mer elektricitet den lagrar, desto snabbare rör den sig. Känd för att explodera utan anledning, bara för skojs skull.",1.2
102,Exeggcute,"Ser ut som ägg men är egentligen en klunga frön. De kommunicerar telepatiskt och om en separeras från gruppen, hittar de snabbt tillbaka till varandra.",0.4
103,Exeggutor,"Kallas 'den vandrande djungeln'. Varje huvud tänker självständigt. Om ett huvud faller av, blir det en ny Exeggcute.",2.0
104,Cubone,"Bär skallen från sin avlidna mor. Ingen har någonsin sett dess sanna ansikte. Fläckarna på skallen kommer från dess tårar.",0.4
105,Marowak,"Har övervunnit sorgen efter sin mors död och blivit stark och aggressiv. Använder ben som vapen och kastar dem som bumeranger.",1.0
106,Hitmonlee,"Kallas 'Sparkmästaren'. Dess ben kan sträckas ut till dubbel längd, vilket ger den en otrolig räckvidd i strid.",1.5
107,Hitmonchan,"Sägs ha själen av en boxare. Dess slag är så snabba att de är osynliga för blotta ögat och kan borra sig igenom betong.",1.4
108,Lickitung,"Utforskar världen med sin två meter långa tunga. Dess saliv kan orsaka utslag om den inte tvättas bort omedelbart.",1.2
109,Koffing,"Lagrar en mängd olika giftiga gaser i sin kropp. Blandar dem med sopor för att skapa ännu giftigare gaser.",0.6
110,Weezing,"Bildas när två Koffing smälter samman. Genom att växla gaser mellan sina två huvuden kan den göra giftet ännu starkare.",1.2
111,Rhyhorn,"Har en enkelspårig hjärna och rusar bara rakt fram, krossar allt i sin väg. Glömmer ofta varför den började springa.",1.0
112,Rhydon,"Den allra första Pokémon som designades. Dess pansarliknande hud skyddar den från värme upp till 2000 grader. Kan krossa diamanter med sitt horn.",1.9
113,Chansey,"En snäll Pokémon som delar med sig av sina näringsrika ägg till skadade. Används ofta på Pokémon-center.",1.1
114,Tangela,"Hela dess kropp är täckt av tjocka, blåa lianer som döljer dess sanna identitet. Om en lian slits av växer den tillbaka nästa dag.",1.0
115,Kangaskhan,"Uppfostrar sin unge i sin pung i tre år. Extremt beskyddande och attackerar allt som hotar dess barn.",2.2
116,Horsea,"Använder sin stjärt för att förankra sig vid koraller för att inte svepas bort av strömmar. Skjuter bläck mot fiender.",0.4
117,Seadra,"Dess fenor är täckta av giftiga taggar. Hanarna tar hand om de nyfödda Horsea.",1.2
118,Goldeen,"Känd som 'Vattendansaren' på grund av sina graciösa rörelser. Använder sitt horn för att slå hål i akvarier om den hålls fången.",0.6
119,Seaking,"Simmar uppför vattenfall för att lägga sina ägg. Hanen och honan turas om att vakta boet, som kan vara i en månad.",1.3
120,Staryu,"Så länge dess röda kärna i mitten är oskadd, kan den regenerera hela sin kropp även om den blir sliten i bitar.",0.8
121,Starmie,"Kärnan i mitten lyser i sju olika färger och sägs sända ut mystiska radiovågor mot rymden.",1.1
122,Mr. Mime,"En mästare på pantomim. Kan skapa osynliga väggar genom att få luften att vibrera. Störs den, slår den till med sina stora händer.",1.3
123,Scyther,"Rör sig med ninjaliknande snabbhet. Dess liar är så vassa att de kan fälla ett stort träd med ett enda hugg.",1.5
124,Jynx,"Kommunicerar med en serie dansliknande rörelser. Dess tal har ännu inte kunnat dechiffreras.",1.4
125,Electabuzz,"Samlas vid kraftverk under åskväder för att äta elektricitet, vilket ofta orsakar stora strömavbrott.",1.1
126,Magmar,"Lever i aktiva vulkaner. Dess kroppstemperatur är 1200 grader. Den ogillar kalla platser och värmer upp sin omgivning med eld.",1.3
127,Pinsir,"Använder sina stora horn för att greppa och krossa sina byten. Kan lyfta objekt som väger dubbelt så mycket som den själv.",1.5
128,Tauros,"Piskar sig själv med sina tre svansar för att bli rasande innan den stormar fram. Kan bara springa rakt fram.",1.4
129,Magikarp,"En nästan värdelös Pokémon som mest bara plaskar runt. I forntiden var den dock betydligt starkare.",0.9
130,Gyarados,"När en Magikarp utvecklas genomgår dess hjärna en stor förändring, vilket gör den extremt våldsam och destruktiv.",6.5
131,Lapras,"En mild och intelligent Pokémon som älskar att transportera människor över vattnet. Drevs nästan till utrotning av tjuvjägare.",2.5
132,Ditto,"Kan omstrukturera hela sin cellstruktur för att förvandla sig till en exakt kopia av allt den ser, även om ansiktet ofta blir en aning fel.",0.3
133,Eevee,"Har en instabil genetisk kod som gör att den kan utvecklas till åtta olika former beroende på omgivning och stimuli.",0.3
134,Vaporeon,"Dess cellstruktur liknar vattenmolekyler, vilket gör att den kan smälta in i vatten och bli osynlig.",1.0
135,Jolteon,"Kan generera 10 000 volt elektricitet. Dess päls består av vassa taggar som den kan skjuta iväg mot fiender.",0.8
136,Flareon,"Lågan i dess kropp kan nå en temperatur på 1700 grader. Den fluffiga pälsen hjälper till att reglera kroppstemperaturen.",0.9
137,Porygon,"Den första artificiella Pokémon som skapades av människan. Består helt av programmeringskod och kan röra sig fritt i cyberrymden.",0.8
138,Omanyte,"En uråldrig Pokémon som återupplivats från ett Helix-fossil. Använder sina tio tentakler för att fånga byten.",0.4
139,Omastar,"Man tror att den dog ut eftersom dess skal blev för stort och tungt, vilket gjorde den för långsam för att jaga.",1.0
140,Kabuto,"Återupplivad från ett Dom-fossil. Den skyddades av sitt hårda skal och har inte förändrats på 300 miljoner år.",0.5
141,Kabutops,"En forntida jägare som använde sina vassa liar till armar för att slita isär sina byten och dricka deras kroppsvätskor.",1.3
142,Aerodactyl,"En våldsam förhistorisk Pokémon som återupplivats från en bärnsten. Dess sågtandade huggtänder kan slita sönder stål.",1.8
143,Snorlax,"Dess enda aktiviteter är att äta och sova. Behöver äta 400 kg mat om dagen och kan äta nästan vad som helst.",2.1
144,Articuno,"En legendarisk fågel-Pokémon. Sägs kunna skapa snöstormar genom att flaxa med sina vingar. Visar sig för vilsna resenärer i bergen.",1.7
145,Zapdos,"En legendarisk fågel-Pokémon. Den får sin kraft från blixten och sägs dyka upp ur åskmoln.",1.6
146,Moltres,"En legendarisk fågel-Pokémon. Sägs kunna hela sina skador genom att doppa sig i lava. Dess ankomst sägs förebåda våren.",2.0
147,Dratini,"Ömsar ständigt sitt skinn medan den växer. Den gömmer sig bakom vattenfall för skydd under denna sårbara process.",1.8
148,Dragonair,"Sägs kunna kontrollera vädret genom att frigöra energi från kristallerna på sin kropp. Att se en i början av året sägs ge god hälsa.",4.0
149,Dragonite,"Har en intelligens som motsvarar en människas och ett gott hjärta. Den guidar förlista skepp till säkerhet och kan flyga runt jorden på 16 timmar.",2.2
150,Mewtwo,"Skapades genom genmanipulation av Mews DNA. Trots sin otroliga psykiska kraft, gav forskarna den inte ett medkännande hjärta.",2.0
151,Mew,"En mytisk Pokémon som sägs vara förfadern till alla Pokémon, eftersom den bär på den genetiska koden för dem alla. Kan göra sig osynlig.",0.4
721,Volcanion,"Mytisk ång-Pokémon av de motsägelsefulla typerna eld och vatten.",1.7
312798312, MISSINGNO., RI�%&/m�J�J��t��$@�ERROR����MISSINGiy�裟��%&/m�J�JNONEXISTENTPKMN�%&/m�J�J, -97
